elapsed_sec,joint_name,position,velocity,effort
335.032701671,joint_6,-0.000002368,nan,nan
335.062660371,joint_1,-0.000001233,nan,nan
335.062660371,joint_2,-0.799980420,nan,nan
335.062660371,joint_3,1.200003830,nan,nan
335.062660371,joint_4,0.000020847,nan,nan
335.062660371,joint_5,0.799980387,nan,nan
335.062660371,joint_6,-0.000002368,nan,nan
335.082597170,joint_1,-0.000001233,nan,nan
335.082597170,joint_2,-0.799980420,nan,nan
335.082597170,joint_3,1.200003830,nan,nan
335.082597170,joint_4,0.000020847,nan,nan
335.082597170,joint_5,0.799980387,nan,nan
335.082597170,joint_6,-0.000002368,nan,nan
335.103813070,joint_1,-0.000001233,nan,nan
335.103813070,joint_2,-0.799980420,nan,nan
335.103813070,joint_3,1.200003830,nan,nan
335.103813070,joint_4,0.000020847,nan,nan
335.103813070,joint_5,0.799980387,nan,nan
335.103813070,joint_6,-0.000002368,nan,nan
335.130741769,joint_1,-0.000001233,nan,nan
335.130741769,joint_2,-0.799980420,nan,nan
335.130741769,joint_3,1.200003830,nan,nan
335.130741769,joint_4,0.000020847,nan,nan
335.130741769,joint_5,0.799980387,nan,nan
335.130741769,joint_6,-0.000002368,nan,nan
335.160555869,joint_1,-0.000001233,nan,nan
335.160555869,joint_2,-0.799980420,nan,nan
335.160555869,joint_3,1.200003830,nan,nan
335.160555869,joint_4,0.000020847,nan,nan
335.160555869,joint_5,0.799980387,nan,nan
335.160555869,joint_6,-0.000002368,nan,nan
335.193006268,joint_1,-0.000001233,nan,nan
335.193006268,joint_2,-0.799980420,nan,nan
335.193006268,joint_3,1.200003830,nan,nan
335.193006268,joint_4,0.000020847,nan,nan
335.193006268,joint_5,0.799980387,nan,nan
335.193006268,joint_6,-0.000002368,nan,nan
335.206212068,joint_1,-0.000001233,nan,nan
335.206212068,joint_2,-0.799980420,nan,nan
335.206212068,joint_3,1.200003830,nan,nan
335.206212068,joint_4,0.000020847,nan,nan
335.206212068,joint_5,0.799980387,nan,nan
335.206212068,joint_6,-0.000002368,nan,nan
335.234759268,joint_1,-0.000001233,nan,nan
335.234759268,joint_2,-0.799980420,nan,nan
335.234759268,joint_3,1.200003830,nan,nan
335.234759268,joint_4,0.000020847,nan,nan
335.234759268,joint_5,0.799980387,nan,nan
335.234759268,joint_6,-0.000002368,nan,nan
335.271984167,joint_1,-0.000001233,nan,nan
335.271984167,joint_2,-0.799980420,nan,nan
335.271984167,joint_3,1.200003830,nan,nan
335.271984167,joint_4,0.000020847,nan,nan
335.271984167,joint_5,0.799980387,nan,nan
335.271984167,joint_6,-0.000002368,nan,nan
335.291353867,joint_1,-0.000001233,nan,nan
335.291353867,joint_2,-0.799980420,nan,nan
335.291353867,joint_3,1.200003830,nan,nan
335.291353867,joint_4,0.000020847,nan,nan
335.291353867,joint_5,0.799980387,nan,nan
335.291353867,joint_6,-0.000002368,nan,nan
335.312052466,joint_1,-0.000001233,nan,nan
335.312052466,joint_2,-0.799980420,nan,nan
335.312052466,joint_3,1.200003830,nan,nan
335.312052466,joint_4,0.000020847,nan,nan
335.312052466,joint_5,0.799980387,nan,nan
335.312052466,joint_6,-0.000002368,nan,nan
335.341822066,joint_1,-0.000001233,nan,nan
335.341822066,joint_2,-0.799980420,nan,nan
335.341822066,joint_3,1.200003830,nan,nan
335.341822066,joint_4,0.000020847,nan,nan
335.341822066,joint_5,0.799980387,nan,nan
335.341822066,joint_6,-0.000002368,nan,nan
335.365220966,joint_1,-0.000001233,nan,nan
335.365220966,joint_2,-0.799980420,nan,nan
335.365220966,joint_3,1.200003830,nan,nan
335.365220966,joint_4,0.000020847,nan,nan
335.365220966,joint_5,0.799980387,nan,nan
335.365220966,joint_6,-0.000002368,nan,nan
335.405991865,joint_1,-0.000001233,nan,nan
335.405991865,joint_2,-0.799980420,nan,nan
335.405991865,joint_3,1.200003830,nan,nan
335.405991865,joint_4,0.000020847,nan,nan
335.405991865,joint_5,0.799980387,nan,nan
335.405991865,joint_6,-0.000002368,nan,nan
335.447273864,joint_1,-0.000001233,nan,nan
335.447273864,joint_2,-0.799980420,nan,nan
335.447273864,joint_3,1.200003830,nan,nan
335.447273864,joint_4,0.000020847,nan,nan
335.447273864,joint_5,0.799980387,nan,nan
335.447273864,joint_6,-0.000002368,nan,nan
335.500083663,joint_1,-0.000001233,nan,nan
335.500083663,joint_2,-0.799980420,nan,nan
335.500083663,joint_3,1.200003830,nan,nan
335.500083663,joint_4,0.000020847,nan,nan
335.500083663,joint_5,0.799980387,nan,nan
335.500083663,joint_6,-0.000002368,nan,nan
335.551352862,joint_1,-0.000001233,nan,nan
335.551352862,joint_2,-0.799980420,nan,nan
335.551352862,joint_3,1.200003830,nan,nan
335.551352862,joint_4,0.000020847,nan,nan
335.551352862,joint_5,0.799980387,nan,nan
335.551352862,joint_6,-0.000002368,nan,nan
335.590776962,joint_1,-0.000001233,nan,nan
335.590776962,joint_2,-0.799980420,nan,nan
335.590776962,joint_3,1.200003830,nan,nan
335.590776962,joint_4,0.000020847,nan,nan
335.590776962,joint_5,0.799980387,nan,nan
335.590776962,joint_6,-0.000002368,nan,nan
335.614946961,joint_1,-0.000001233,nan,nan
335.614946961,joint_2,-0.799980420,nan,nan
335.614946961,joint_3,1.200003830,nan,nan
335.614946961,joint_4,0.000020847,nan,nan
335.614946961,joint_5,0.799980387,nan,nan
335.614946961,joint_6,-0.000002368,nan,nan
335.639834761,joint_1,-0.000001233,nan,nan
335.639834761,joint_2,-0.799980420,nan,nan
335.639834761,joint_3,1.200003830,nan,nan
335.639834761,joint_4,0.000020847,nan,nan
335.639834761,joint_5,0.799980387,nan,nan
335.639834761,joint_6,-0.000002368,nan,nan
335.659581761,joint_1,-0.000001233,nan,nan
335.659581761,joint_2,-0.799980420,nan,nan
335.659581761,joint_3,1.200003830,nan,nan
335.659581761,joint_4,0.000020847,nan,nan
335.659581761,joint_5,0.799980387,nan,nan
335.659581761,joint_6,-0.000002368,nan,nan
335.680413360,joint_1,-0.000001233,nan,nan
335.680413360,joint_2,-0.799980420,nan,nan
335.680413360,joint_3,1.200003830,nan,nan
335.680413360,joint_4,0.000020847,nan,nan
335.680413360,joint_5,0.799980387,nan,nan
335.680413360,joint_6,-0.000002368,nan,nan
335.715945360,joint_1,-0.000001233,nan,nan
335.715945360,joint_2,-0.799980420,nan,nan
335.715945360,joint_3,1.200003830,nan,nan
335.715945360,joint_4,0.000020847,nan,nan
335.715945360,joint_5,0.799980387,nan,nan
335.715945360,joint_6,-0.000002368,nan,nan
335.751903959,joint_1,-0.000001233,nan,nan
335.751903959,joint_2,-0.799980420,nan,nan
335.751903959,joint_3,1.200003830,nan,nan
335.751903959,joint_4,0.000020847,nan,nan
335.751903959,joint_5,0.799980387,nan,nan
335.751903959,joint_6,-0.000002368,nan,nan
335.774131959,joint_1,-0.000001233,nan,nan
335.774131959,joint_2,-0.799980420,nan,nan
335.774131959,joint_3,1.200003830,nan,nan
335.774131959,joint_4,0.000020847,nan,nan
335.774131959,joint_5,0.799980387,nan,nan
335.774131959,joint_6,-0.000002368,nan,nan
335.797338958,joint_1,-0.000001233,nan,nan
335.797338958,joint_2,-0.799980420,nan,nan
335.797338958,joint_3,1.200003830,nan,nan
335.797338958,joint_4,0.000020847,nan,nan
335.797338958,joint_5,0.799980387,nan,nan
335.797338958,joint_6,-0.000002368,nan,nan
335.818045558,joint_1,-0.000001233,nan,nan
335.818045558,joint_2,-0.799980420,nan,nan
335.818045558,joint_3,1.200003830,nan,nan
335.818045558,joint_4,0.000020847,nan,nan
335.818045558,joint_5,0.799980387,nan,nan
335.818045558,joint_6,-0.000002368,nan,nan
335.841052758,joint_1,-0.000001233,nan,nan
335.841052758,joint_2,-0.799980420,nan,nan
335.841052758,joint_3,1.200003830,nan,nan
335.841052758,joint_4,0.000020847,nan,nan
