stamp_s,max_abs_position_error_rad,rms_position_error_rad,joint_1_reference_rad,joint_1_feedback_rad,joint_1_error_rad,joint_2_reference_rad,joint_2_feedback_rad,joint_2_error_rad,joint_3_reference_rad,joint_3_feedback_rad,joint_3_error_rad,joint_4_reference_rad,joint_4_feedback_rad,joint_4_error_rad,joint_5_reference_rad,joint_5_feedback_rad,joint_5_error_rad,joint_6_reference_rad,joint_6_feedback_rad,joint_6_error_rad
153.728000000,0.003297372,0.001936355,0.000000000,-0.001625842,0.001625842,-0.800000000,-0.798128372,-0.001871628,1.200000000,1.200666271,-0.000666271,0.000000000,0.001572992,-0.001572992,0.800000000,0.801599871,-0.001599871,0.000000000,-0.003297372,0.003297372
153.732000000,0.009127192,0.004472903,0.000000000,-0.002807758,0.002807758,-0.800000000,-0.798623346,-0.001376654,1.200000000,1.201925982,-0.001925982,0.000000000,-0.002895089,0.002895089,0.800000000,0.796144366,0.003855634,0.000000000,0.009127192,-0.009127192
153.736000000,0.003696879,0.002697754,0.000000000,-0.003696879,0.003696879,-0.800000000,-0.798851778,-0.001148222,1.200000000,1.200751158,-0.000751158,0.000000000,0.001957942,-0.001957942,0.800000000,0.803621024,-0.003621024,0.000000000,-0.003342506,0.003342506
153.740000000,0.008986889,0.004284463,0.000000000,-0.003823598,0.003823598,-0.800000000,-0.799410717,-0.000589283,1.200000000,1.201403658,-0.001403658,0.000000000,-0.002945502,0.002945502,0.800000000,0.798060372,0.001939628,0.000000000,0.008986889,-0.008986889
153.744000000,0.005422598,0.003141336,0.000000000,-0.003747038,0.003747038,-0.800000000,-0.799746743,-0.000253257,1.200000000,1.199764338,0.000235662,0.000000000,0.001883081,-0.001883081,0.800000000,0.805422598,-0.005422598,0.000000000,-0.003478133,0.003478133
153.748000000,0.009664216,0.004839717,0.000000000,-0.002940193,0.002940193,-0.800000000,-0.800860094,0.000860094,1.200000000,1.201810113,-0.001810113,0.000000000,-0.004534860,0.004534860,0.800000000,0.796269832,0.003730168,0.000000000,0.009664216,-0.009664216
153.752000000,0.005026921,0.002543710,0.000000000,-0.002021107,0.002021107,-0.800000000,-0.801047773,0.001047773,1.200000000,1.200371425,-0.000371425,0.000000000,0.000206687,-0.000206687,0.800000000,0.805026921,-0.005026921,0.000000000,-0.002861719,0.002861719
153.756000000,0.009545720,0.004389131,0.000000000,-0.000458327,0.000458327,-0.800000000,-0.800560502,0.000560502,1.200000000,1.199442998,0.000557002,0.000000000,-0.004688398,0.004688398,0.800000000,0.801284720,-0.001284720,0.000000000,0.009545720,-0.009545720
153.760000000,0.005699610,0.002820146,0.000000000,0.001284683,-0.001284683,-0.800000000,-0.799750825,-0.000249175,1.200000000,1.198749835,0.001250165,0.000000000,-0.003290830,0.003290830,0.800000000,0.794300390,0.005699610,0.000000000,0.001062459,-0.001062459
153.764000000,0.012440315,0.005524303,0.000000000,0.002633041,-0.002633041,-0.800000000,-0.799137159,-0.000862841,1.200000000,1.198188845,0.001811155,0.000000000,0.003516071,-0.003516071,0.800000000,0.797758194,0.002241806,0.000000000,-0.012440315,0.012440315
153.767000000,0.003669889,0.002055014,0.000000000,0.003669889,-0.003669889,-0.800000000,-0.799152047,-0.000847953,1.200000000,1.199875269,0.000124731,0.000000000,0.000894005,-0.000894005,0.800000000,0.800825068,-0.000825068,0.000000000,-0.003107385,0.003107385
153.772000000,0.010326484,0.006347693,0.000000000,0.004288369,-0.004288369,-0.800000000,-0.799914406,-0.000085594,1.200000000,1.204352639,-0.004352639,0.000000000,-0.005852262,0.005852262,0.800000000,0.792029359,0.007970641,0.000000000,0.010326484,-0.010326484
153.776000000,0.005613363,0.003099758,0.000000000,0.004062706,-0.004062706,-0.800000000,-0.800320759,0.000320759,1.200000000,1.205613363,-0.005613363,0.000000000,0.000882146,-0.000882146,0.800000000,0.799871376,0.000128624,0.000000000,-0.002956005,0.002956005
153.780000000,0.009022694,0.005096733,0.000000000,0.003607830,-0.003607830,-0.800000000,-0.799901785,-0.000098215,1.200000000,1.205376099,-0.005376099,0.000000000,-0.000038549,0.000038549,0.800000000,0.809022694,-0.009022694,0.000000000,0.005702729,-0.005702729
153.784000000,0.006762684,0.004523127,0.000000000,0.002585097,-0.002585097,-0.800000000,-0.799528695,-0.000471305,1.200000000,1.205460431,-0.005460431,0.000000000,0.004770633,-0.004770633,0.800000000,0.806762684,-0.006762684,0.000000000,-0.004187847,0.004187847
153.788000000,0.007424383,0.004101290,0.000000000,0.001384994,-0.001384994,-0.800000000,-0.799354329,-0.000645671,1.200000000,1.206267376,-0.006267376,0.000000000,0.001940159,-0.001940159,0.800000000,0.799349856,0.000650144,0.000000000,0.007424383,-0.007424383
153.792000000,0.005315049,0.003028563,0.000000000,-0.000188596,0.000188596,-0.800000000,-0.798991528,-0.001008472,1.200000000,1.205315049,-0.005315049,0.000000000,-0.000103838,0.000103838,0.800000000,0.805057906,-0.005057906,0.000000000,-0.000370983,0.000370983
153.796000000,0.006307352,0.003517855,0.000000000,-0.001641987,0.001641987,-0.800000000,-0.799011366,-0.000988634,1.200000000,1.205143399,-0.005143399,0.000000000,0.001624675,-0.001624675,0.800000000,0.801304404,-0.001304404,0.000000000,0.006307352,-0.006307352
153.800000000,0.005705665,0.003654366,0.000000000,-0.002394408,0.002394408,-0.800000000,-0.799198321,-0.000801679,1.200000000,1.205553452,-0.005553452,0.000000000,-0.001874564,0.001874564,0.800000000,0.794294335,0.005705665,0.000000000,0.002615538,-0.002615538
153.805000000,0.011226820,0.005145770,0.000000000,-0.002862783,0.002862783,-0.800000000,-0.799172775,-0.000827225,1.200000000,1.203674985,-0.003674985,0.000000000,0.002854782,-0.002854782,0.800000000,0.801515615,-0.001515615,0.000000000,-0.011226820,0.011226820
153.808000000,0.004201542,0.002734903,0.000000000,-0.002602067,0.002602067,-0.800000000,-0.799549841,-0.000450159,1.200000000,1.203823805,-0.003823805,0.000000000,-0.002097493,0.002097493,0.800000000,0.795798458,0.004201542,0.000000000,0.001109440,-0.001109440
153.813000000,0.011372637,0.005071679,0.000000000,-0.002168482,0.002168482,-0.800000000,-0.799757466,-0.000242534,1.200000000,1.201829657,-0.001829657,0.000000000,0.002728379,-0.002728379,0.800000000,0.803072764,-0.003072764,0.000000000,-0.011372637,0.011372637
153.816000000,0.002646711,0.001702169,0.000000000,-0.001071220,0.001071220,-0.800000000,-0.800358062,0.000358062,1.200000000,1.201879469,-0.001879469,0.000000000,-0.002151072,0.002151072,0.800000000,0.797353289,0.002646711,0.000000000,0.000971574,-0.000971574
153.820000000,0.011436855,0.005458569,0.000000000,0.000149611,-0.000149611,-0.800000000,-0.800088178,0.000088178,1.200000000,1.198743778,0.001256222,0.000000000,0.002715088,-0.002715088,0.800000000,0.806244539,-0.006244539,0.000000000,-0.011436855,0.011436855
