elapsed_sec,level,status
4.812102912,WARNING,WARNING: waiting for first /task_phase message
4.819248612,OK,OK: joint states valid during phase uninitialized
4.844931012,OK,OK: joint states valid during phase uninitialized
4.867143212,OK,OK: joint states valid during phase uninitialized
4.894914412,OK,OK: joint states valid during phase uninitialized
4.917128312,OK,OK: joint states valid during phase uninitialized
4.941248212,OK,OK: joint states valid during phase uninitialized
4.959856012,OK,OK: joint states valid during phase uninitialized
4.981553113,OK,OK: joint states valid during phase uninitialized
5.009998613,OK,OK: joint states valid during phase uninitialized
5.011914613,WARNING,WARNING: waiting for first /task_phase message
5.029340313,OK,OK: joint states valid during phase uninitialized
5.053947213,OK,OK: joint states valid during phase uninitialized
5.075398013,OK,OK: joint states valid during phase uninitialized
5.100256813,OK,OK: joint states valid during phase uninitialized
5.122548513,OK,OK: joint states valid during phase uninitialized
5.141099813,OK,OK: joint states valid during phase uninitialized
5.163154313,OK,OK: joint states valid during phase uninitialized
5.184768413,OK,OK: joint states valid during phase uninitialized
5.204597713,OK,OK: joint states valid during phase uninitialized
5.213925513,WARNING,WARNING: waiting for first /task_phase message
5.229424313,OK,OK: joint states valid during phase uninitialized
5.249563013,OK,OK: joint states valid during phase uninitialized
5.273435113,OK,OK: joint states valid during phase uninitialized
5.298693913,OK,OK: joint states valid during phase uninitialized
5.319422613,OK,OK: joint states valid during phase uninitialized
5.340058313,OK,OK: joint states valid during phase uninitialized
5.360415913,OK,OK: joint states valid during phase uninitialized
5.379894313,OK,OK: joint states valid during phase uninitialized
5.402634714,OK,OK: joint states valid during phase uninitialized
5.410912314,WARNING,WARNING: waiting for first /task_phase message
5.422432414,OK,OK: joint states valid during phase uninitialized
5.447377814,OK,OK: joint states valid during phase uninitialized
5.477296214,OK,OK: joint states valid during phase uninitialized
5.500292014,OK,OK: joint states valid during phase uninitialized
5.520404114,OK,OK: joint states valid during phase uninitialized
5.540166714,OK,OK: joint states valid during phase uninitialized
5.561331814,OK,OK: joint states valid during phase uninitialized
5.584765314,OK,OK: joint states valid during phase uninitialized
5.605132114,OK,OK: joint states valid during phase uninitialized
5.610955614,WARNING,WARNING: waiting for first /task_phase message
5.629993514,OK,OK: joint states valid during phase uninitialized
5.648467414,OK,OK: joint states valid during phase uninitialized
5.668337814,OK,OK: joint states valid during phase uninitialized
5.689609114,OK,OK: joint states valid during phase uninitialized
5.709233814,OK,OK: joint states valid during phase uninitialized
5.733142414,OK,OK: joint states valid during phase uninitialized
5.754700414,OK,OK: joint states valid during phase uninitialized
5.774123914,OK,OK: joint states valid during phase uninitialized
5.794139714,OK,OK: joint states valid during phase uninitialized
5.810909315,WARNING,WARNING: waiting for first /task_phase message
5.815864315,OK,OK: joint states valid during phase uninitialized
5.835043615,OK,OK: joint states valid during phase uninitialized
5.855306915,OK,OK: joint states valid during phase uninitialized
5.878584315,OK,OK: joint states valid during phase uninitialized
5.897410915,OK,OK: joint states valid during phase uninitialized
5.917770615,OK,OK: joint states valid during phase uninitialized
5.939650915,OK,OK: joint states valid during phase uninitialized
5.959576215,OK,OK: joint states valid during phase uninitialized
5.979872715,OK,OK: joint states valid during phase uninitialized
6.004404915,OK,OK: joint states valid during phase uninitialized
6.010834615,WARNING,WARNING: waiting for first /task_phase message
6.028232015,OK,OK: joint states valid during phase uninitialized
6.053047516,OK,OK: joint states valid during phase uninitialized
