elapsed_sec,joint_states,tf,rgb_image,depth_image,contact_wrench,contact_state,safety_status,readiness_gates,pre_control_contract,controller_boundary_report,all_required_inputs_available,status
15.217,true,true,true,true,true,true,true,true,true,true,true,control_development_scaffold_validated
15.417,true,true,true,true,true,true,true,true,true,true,true,control_development_scaffold_validated
15.617,true,true,true,true,true,true,true,true,true,true,true,control_development_scaffold_validated
15.817,true,true,true,true,true,true,true,true,true,true,true,control_development_scaffold_validated
16.017,true,true,true,true,true,true,true,true,true,true,true,control_development_scaffold_validated
16.217,true,true,true,true,true,true,true,true,true,true,true,control_development_scaffold_validated
16.417,true,true,true,true,true,true,true,true,true,true,true,control_development_scaffold_validated
16.617,true,true,true,true,true,true,true,true,true,true,true,control_development_scaffold_validated
16.817,true,true,true,true,true,true,true,true,true,true,true,control_development_scaffold_validated
17.017,true,true,true,true,true,true,true,true,true,true,true,control_development_scaffold_validated
17.217,true,true,true,true,true,true,true,true,true,true,true,control_development_scaffold_validated
17.417,true,true,true,true,true,true,true,true,true,true,true,control_development_scaffold_validated
17.617,true,true,true,true,true,true,true,true,true,true,true,control_development_scaffold_validated
17.817,true,true,true,true,true,true,true,true,true,true,true,control_development_scaffold_validated
18.017,true,true,true,true,true,true,true,true,true,true,true,control_development_scaffold_validated
18.217,true,true,true,true,true,true,true,true,true,true,true,control_development_scaffold_validated
18.417,true,true,true,true,true,true,true,true,true,true,true,control_development_scaffold_validated
18.617,true,true,true,true,true,true,true,true,true,true,true,control_development_scaffold_validated
18.817,true,true,true,true,true,true,true,true,true,true,true,control_development_scaffold_validated
19.017,true,true,true,true,true,true,true,true,true,true,true,control_development_scaffold_validated
19.217,true,true,true,true,true,true,true,true,true,true,true,control_development_scaffold_validated
19.417,true,true,true,true,true,true,true,true,true,true,true,control_development_scaffold_validated
19.617,true,true,true,true,true,true,true,true,true,true,true,control_development_scaffold_validated
19.817,true,true,true,true,true,true,true,true,true,true,true,control_development_scaffold_validated
20.017,true,true,true,true,true,true,true,true,true,true,true,control_development_scaffold_validated
