stamp_s,max_abs_position_error_rad,rms_position_error_rad,joint_1_reference_rad,joint_1_feedback_rad,joint_1_error_rad,joint_2_reference_rad,joint_2_feedback_rad,joint_2_error_rad,joint_3_reference_rad,joint_3_feedback_rad,joint_3_error_rad,joint_4_reference_rad,joint_4_feedback_rad,joint_4_error_rad,joint_5_reference_rad,joint_5_feedback_rad,joint_5_error_rad,joint_6_reference_rad,joint_6_feedback_rad,joint_6_error_rad
140.218000000,0.005139844,0.003025158,0.000000000,0.002951223,-0.002951223,-0.800000000,-0.797970941,-0.002029059,1.200000000,1.205139844,-0.005139844,0.000000000,0.000658732,-0.000658732,0.800000000,0.796101807,0.003898193,0.000000000,0.000186662,-0.000186662
140.224000000,0.007251923,0.003702329,0.000000000,0.001982675,-0.001982675,-0.800000000,-0.797973862,-0.002026138,1.200000000,1.204177618,-0.004177618,0.000000000,0.001008345,-0.001008345,0.800000000,0.801774135,-0.001774135,0.000000000,-0.007251923,0.007251923
140.228000000,0.004635529,0.003478176,0.000000000,0.000779371,-0.000779371,-0.800000000,-0.798326238,-0.001673762,1.200000000,1.204635529,-0.004635529,0.000000000,-0.004329460,0.004329460,0.800000000,0.796492792,0.003507208,0.000000000,0.004079764,-0.004079764
140.232000000,0.009127622,0.004396243,0.000000000,-0.001093768,0.001093768,-0.800000000,-0.798516014,-0.001483986,1.200000000,1.202758957,-0.002758957,0.000000000,0.002171338,-0.002171338,0.800000000,0.804113774,-0.004113774,0.000000000,-0.009127622,0.009127622
140.236000000,0.003270566,0.002403812,0.000000000,-0.002427578,0.002427578,-0.800000000,-0.799088696,-0.000911304,1.200000000,1.202983628,-0.002983628,0.000000000,-0.002413712,0.002413712,0.800000000,0.798412040,0.001587960,0.000000000,0.003270566,-0.003270566
140.240000000,0.009202262,0.004756322,0.000000000,-0.003457454,0.003457454,-0.800000000,-0.799461171,-0.000538829,1.200000000,1.201043152,-0.001043152,0.000000000,0.002316019,-0.002316019,0.800000000,0.805688372,-0.005688372,0.000000000,-0.009202262,0.009202262
140.244000000,0.003714030,0.002303071,0.000000000,-0.003714030,0.003714030,-0.800000000,-0.800205379,0.000205379,1.200000000,1.201111129,-0.001111129,0.000000000,-0.002665585,0.002665585,0.800000000,0.799996108,0.000003892,0.000000000,0.003106229,-0.003106229
140.249000000,0.008829159,0.004985649,0.000000000,-0.003738286,0.003738286,-0.800000000,-0.800105192,0.000105192,1.200000000,1.198202187,0.001797813,0.000000000,0.001806399,-0.001806399,0.800000000,0.807120750,-0.007120750,0.000000000,-0.008829159,0.008829159
140.251000000,0.004814259,0.003063309,0.000000000,-0.003009883,0.003009883,-0.800000000,-0.799869847,-0.000130153,1.200000000,1.197900323,0.002099677,0.000000000,-0.004814259,0.004814259,0.800000000,0.799106684,0.000893316,0.000000000,0.004340862,-0.004340862
140.256000000,0.007429243,0.003565279,0.000000000,-0.002131880,0.002131880,-0.800000000,-0.799770537,-0.000229463,1.200000000,1.197390811,0.002609189,0.000000000,-0.001925994,0.001925994,0.800000000,0.802441056,-0.002441056,0.000000000,-0.007429243,0.007429243
140.260000000,0.005295945,0.002209891,0.000000000,-0.000872103,0.000872103,-0.800000000,-0.800540681,0.000540681,1.200000000,1.199875077,0.000124923,0.000000000,0.000306013,-0.000306013,0.800000000,0.794704055,0.005295945,0.000000000,0.000304196,-0.000304196
140.264000000,0.005625490,0.002775026,0.000000000,0.000901971,-0.000901971,-0.800000000,-0.800779593,0.000779593,1.200000000,1.201608826,-0.001608826,0.000000000,-0.002655150,0.002655150,0.800000000,0.798129434,0.001870566,0.000000000,-0.005625490,0.005625490
140.268000000,0.008864373,0.004010888,0.000000000,0.002227370,-0.002227370,-0.800000000,-0.799969224,-0.000030776,1.200000000,1.200595874,-0.000595874,0.000000000,0.002190309,-0.002190309,0.800000000,0.808864373,-0.008864373,0.000000000,-0.002798493,0.002798493
140.272000000,0.010231515,0.004701845,0.000000000,0.003206499,-0.003206499,-0.800000000,-0.799294599,-0.000705401,1.200000000,1.201213312,-0.001213312,0.000000000,-0.000603693,0.000603693,0.800000000,0.803917189,-0.003917189,0.000000000,0.010231515,-0.010231515
140.276000000,0.004519814,0.002454191,0.000000000,0.003450758,-0.003450758,-0.800000000,-0.798822783,-0.001177217,1.200000000,1.201252987,-0.001252987,0.000000000,0.004519814,-0.004519814,0.800000000,0.799115243,0.000884757,0.000000000,0.000251500,-0.000251500
140.280000000,0.008523581,0.004701961,0.000000000,0.003351827,-0.003351827,-0.800000000,-0.798238109,-0.001761891,1.200000000,1.200202855,-0.000202855,0.000000000,0.004858781,-0.004858781,0.800000000,0.804691620,-0.004691620,0.000000000,-0.008523581,0.008523581
140.284000000,0.002952109,0.001882681,0.000000000,0.002952109,-0.002952109,-0.800000000,-0.798063465,-0.001936535,1.200000000,1.200646262,-0.000646262,0.000000000,-0.000396814,0.000396814,0.800000000,0.799382454,0.000617546,0.000000000,0.002800950,-0.002800950
140.288000000,0.010372946,0.005824722,0.000000000,0.001819635,-0.001819635,-0.800000000,-0.797776811,-0.002223189,1.200000000,1.198826642,0.001173358,0.000000000,0.006157812,-0.006157812,0.800000000,0.806958251,-0.006958251,0.000000000,-0.010372946,0.010372946
