stamp_s,state,fx_n,fy_n,fz_n,force_norm_n,tx_nm,ty_nm,tz_nm,torque_norm_nm,peg_x_m,peg_y_m,peg_z_m,xy_error_m
142.241000000,DONE,13.124882737,-30.716851826,-25.389335341,41.957191065,-0.873998503,-0.039741971,-0.048742711,0.876258329,0.802013008,0.096851328,1.038137207,0.409453353
142.256000000,DONE,-7.826347556,-48.938184167,-88.886991622,101.769813134,-9.112329732,1.426035486,-0.011040531,9.223245213,0.800835637,0.096906635,1.036289861,0.408683502
142.260000000,DONE,8.456735496,6.796614065,-16.629629771,19.855853654,-0.120898870,0.012399069,-0.054603385,0.133235894,0.798735537,0.096728501,1.036416037,0.407113379
142.270000000,DONE,-29.004684088,-2.466379153,-61.987296916,68.481966269,5.634524030,1.773747284,-0.318387696,5.915691945,0.799254172,0.098185961,1.037445728,0.408531223
142.280000000,DONE,4.168228886,-4.845227271,10.143154738,11.988909350,0.208920916,0.053310777,0.080580755,0.230180899,0.802554259,0.099753800,1.038723131,0.411933551
142.290000000,DONE,30.135130004,-71.832918393,47.453870602,91.213837000,-10.090839307,-1.982921359,0.106770407,10.284377227,0.804186454,0.099404174,1.039997972,0.412801163
142.299000000,DONE,0.364134321,-1.773670044,-12.449185815,12.580171966,0.361958866,-0.101213495,0.054460645,0.379768816,0.802124613,0.099705364,1.039779316,0.411603696
142.310000000,DONE,-11.665580288,0.761761908,41.749852888,43.355694676,4.718987643,0.117942010,-0.305523610,4.730338187,0.798050378,0.099326444,1.038268173,0.408544162
142.320000000,DONE,17.556382230,6.594792738,-2.335621181,18.899020465,-0.241213661,-0.491297801,-0.057149732,0.550294150,0.795701274,0.096993894,1.036435180,0.405236431
142.330000000,DONE,55.544741801,39.487423854,49.927078329,84.481880512,-4.073764344,-2.292449177,0.293841962,4.683718849,0.796401305,0.096537951,1.035080909,0.405379375
142.340000000,DONE,18.166479604,27.167317584,0.042699699,32.681584251,0.797409451,-0.447884728,0.052591170,0.916094096,0.798239449,0.096381775,1.035712789,0.406521030
142.351000000,DONE,-31.078538725,-45.715116562,-66.764817564,86.679226553,4.326741736,1.990716952,-0.305236402,4.772506396,0.802285301,0.095894606,1.038457790,0.408948174
142.360000000,DONE,13.574167860,-36.545646109,17.787436253,42.851314695,-0.975028127,-0.501446913,-0.067643117,1.098501000,0.804302782,0.099002709,1.038830727,0.412590223
142.370000000,DONE,-60.000611664,-149.999184903,-74.703915695,177.990179200,-13.065051897,2.721698957,-0.208008055,13.347153016,0.803991386,0.099089275,1.041016037,0.412438482
142.384000000,DONE,1.996049867,-27.684469836,18.320724578,33.257525979,-0.671733444,0.019540322,-0.059394485,0.674637198,0.799043197,0.100461679,1.038887382,0.410051615
142.390000000,DONE,-12.338371120,60.356783763,-81.363595674,102.054943286,7.958141327,1.465783562,-0.093782855,8.092547809,0.796782901,0.097367896,1.039046257,0.406246773
142.400000000,DONE,17.400342521,20.107502942,5.464765347,27.146772455,0.266068121,-0.507806332,0.008678754,0.573354024,0.795788171,0.098750154,1.037860719,0.406584271
142.410000000,DONE,-20.715505602,-99.186374317,-80.744862835,129.563891176,-10.730977098,1.726039596,-0.175205102,10.870316416,0.799524896,0.098148097,1.039672878,0.408688702
