timestamp_sec,scenario_id,phase_name,step_index,x_offset_m,y_offset_m,yaw_offset_deg,joint_positions,joint_velocities,selected_contact_link_pose_xyz,tool0_pose_xyz,contact_force_n,contact_torque_nm,contact_gate_triggered,initial_no_contact_verified,stop_on_contact_executed,retreat_completed,rgb_topic_available,depth_topic_available,camera_info_available,rgb_frame_count,depth_frame_count
55.987414,x_negative_offset,execute_contact_trigger_steps,1,-0.003000,0.000000,0.000000,joint_1=0.006652313;joint_2=-0.790068435;joint_3=1.188654146;joint_4=-0.008990271;joint_5=0.818039672;joint_6=0.019975768,joint_1=nan;joint_2=nan;joint_3=nan;joint_4=nan;joint_5=nan;joint_6=nan,"0.803242,-0.262389,1.061686","0.802559,-0.206717,0.911152",0.091999,0.000000,true,true,true,false,true,true,true,965,964
55.988038,x_negative_offset,x_negative_offset:stop_on_contact_gate,0,-0.003000,0.000000,0.000000,joint_1=0.006652313;joint_2=-0.790068435;joint_3=1.188654146;joint_4=-0.008990271;joint_5=0.818039672;joint_6=0.019975768,joint_1=nan;joint_2=nan;joint_3=nan;joint_4=nan;joint_5=nan;joint_6=nan,"0.803242,-0.262389,1.061686","0.802559,-0.206717,0.911152",0.091999,0.000000,true,true,true,false,true,true,true,965,964
59.254022,x_negative_offset,x_negative_offset:retreat_to_no_contact_standby_pose,0,-0.003000,0.000000,0.000000,joint_1=0.005995480;joint_2=-0.803341099;joint_3=1.195980560;joint_4=0.003046652;joint_5=0.809134810;joint_6=0.024705106,joint_1=nan;joint_2=nan;joint_3=nan;joint_4=nan;joint_5=nan;joint_6=nan,"0.802910,-0.264535,1.066093","0.803604,-0.206661,0.916392",0.094836,0.000000,true,true,true,false,true,true,true,998,997
60.582190,x_negative_offset,x_negative_offset:verify_post_retreat_no_contact,0,-0.003000,0.000000,0.000000,joint_1=0.005966045;joint_2=-0.803935885;joint_3=1.196308879;joint_4=0.003586061;joint_5=0.809121803;joint_6=0.024917039,joint_1=nan;joint_2=nan;joint_3=nan;joint_4=nan;joint_5=nan;joint_6=nan,"0.802894,-0.264644,1.066313","0.803656,-0.206712,0.916634",0.000000,0.000000,false,true,false,true,true,true,true,1019,1019
62.389691,x_negative_offset,x_negative_offset:return_to_ready_pose,0,-0.003000,0.000000,0.000000,joint_1=0.005290876;joint_2=-0.811379091;joint_3=1.192895704;joint_4=0.011022420;joint_5=0.790927748;joint_6=0.006818741,joint_1=nan;joint_2=nan;joint_3=nan;joint_4=nan;joint_5=nan;joint_6=nan,"0.802566,-0.265025,1.070854","0.804149,-0.202790,0.922920",0.000000,0.000000,false,true,false,true,true,true,true,1054,1054
62.390541,x_negative_offset,x_negative_offset:validate_final_state,0,-0.003000,0.000000,0.000000,joint_1=0.005290876;joint_2=-0.811379091;joint_3=1.192895704;joint_4=0.011022420;joint_5=0.790927748;joint_6=0.006818741,joint_1=nan;joint_2=nan;joint_3=nan;joint_4=nan;joint_5=nan;joint_6=nan,"0.802566,-0.265025,1.070854","0.804149,-0.202790,0.922920",0.000000,0.000000,false,true,false,true,true,true,true,1054,1054
62.391412,y_positive_offset,y_positive_offset:start,0,0.000000,0.003000,0.000000,joint_1=0.005290876;joint_2=-0.811379091;joint_3=1.192895704;joint_4=0.011022420;joint_5=0.790927748;joint_6=0.006818741,joint_1=nan;joint_2=nan;joint_3=nan;joint_4=nan;joint_5=nan;joint_6=nan,"0.802566,-0.265025,1.070854","0.804149,-0.202790,0.922920",0.000000,0.000000,false,false,false,false,true,true,true,1054,1054
63.900379,y_positive_offset,y_positive_offset:move_to_ready_pose,0,0.000000,0.003000,0.000000,joint_1=0.009097814;joint_2=-0.807834678;joint_3=1.193750096;joint_4=-0.004903725;joint_5=0.789781743;joint_6=0.005327128,joint_1=nan;joint_2=nan;joint_3=nan;joint_4=nan;joint_5=nan;joint_6=nan,"0.804401,-0.264766,1.068929","0.804414,-0.202983,0.920796",0.000000,0.000000,false,false,false,false,true,true,true,1083,1083
65.962938,y_positive_offset,y_positive_offset:move_to_no_contact_standby_pose,0,0.000000,0.003000,0.000000,joint_1=0.010412000;joint_2=-0.794865920;joint_3=1.190076038;joint_4=-0.011015947;joint_5=0.822887661;joint_6=0.022900869,joint_1=nan;joint_2=nan;joint_3=nan;joint_4=nan;joint_5=nan;joint_6=nan,"0.805066,-0.263043,1.063648","0.804350,-0.207567,0.913042",0.000000,0.000000,false,false,false,false,true,true,true,1123,1123
67.303242,y_positive_offset,y_positive_offset:compute_pad_pose,0,0.000000,0.003000,0.000000,joint_1=0.010430589;joint_2=-0.794682138;joint_3=1.190023954;joint_4=-0.011102422;joint_5=0.823356911;joint_6=0.023149972,joint_1=nan;joint_2=nan;joint_3=nan;joint_4=nan;joint_5=nan;joint_6=nan,"0.805078,-0.263014,1.063555","0.804348,-0.207649,0.912909",0.000000,0.000000,false,false,false,false,true,true,true,1147,1147
67.303820,y_positive_offset,y_positive_offset:spawn_or_reposition_pad,0,0.000000,0.003000,0.000000,joint_1=0.010430589;joint_2=-0.794682138;joint_3=1.190023954;joint_4=-0.011102422;joint_5=0.823356911;joint_6=0.023149972,joint_1=nan;joint_2=nan;joint_3=nan;joint_4=nan;joint_5=nan;joint_6=nan,"0.805078,-0.263014,1.063555","0.804348,-0.207649,0.912909",0.000000,0.000000,false,false,false,false,true,true,true,1147,1147
68.306467,y_positive_offset,y_positive_offset:verify_initial_no_contact,0,0.000000,0.003000,0.000000,joint_1=0.010430890;joint_2=-0.794679164;joint_3=1.190023111;joint_4=-0.011103821;joint_5=0.823364504;joint_6=0.023154003,joint_1=nan;joint_2=nan;joint_3=nan;joint_4=nan;joint_5=nan;joint_6=nan,"0.805078,-0.263013,1.063554","0.804348,-0.207650,0.912907",0.000000,0.000000,false,true,false,false,true,true,true,1167,1166
68.306879,y_positive_offset,execute_bounded_approach_to_contact_steps,0,0.000000,0.003000,0.000000,joint_1=0.010430890;joint_2=-0.794679164;joint_3=1.190023111;joint_4=-0.011103821;joint_5=0.823364504;joint_6=0.023154003,joint_1=nan;joint_2=nan;joint_3=nan;joint_4=nan;joint_5=nan;joint_6=nan,"0.805078,-0.263013,1.063554","0.804348,-0.207650,0.912907",0.000000,0.000000,false,true,false,false,true,true,true,1167,1166
72.685925,y_positive_offset,execute_contact_trigger_steps,1,0.000000,0.003000,0.000000,joint_1=0.010430890;joint_2=-0.794679164;joint_3=1.190023111;joint_4=-0.011103821;joint_5=0.825249279;joint_6=0.027513758,joint_1=nan;joint_2=nan;joint_3=nan;joint_4=nan;joint_5=nan;joint_6=nan,"0.805078,-0.263013,1.063554","0.804343,-0.207957,0.912794",0.092517,0.000000,true,true,true,false,true,true,true,1240,1239
72.686315,y_positive_offset,y_positive_offset:stop_on_contact_gate,0,0.000000,0.003000,0.000000,joint_1=0.010430890;joint_2=-0.794679164;joint_3=1.190023111;joint_4=-0.011103821;joint_5=0.825249279;joint_6=0.027513758,joint_1=nan;joint_2=nan;joint_3=nan;joint_4=nan;joint_5=nan;joint_6=nan,"0.805078,-0.263013,1.063554","0.804343,-0.207957,0.912794",0.092517,0.000000,true,true,true,false,true,true,true,1240,1239
74.599248,y_positive_offset,y_positive_offset:retreat_to_no_contact_standby_pose,0,0.000000,0.003000,0.000000,joint_1=-0.009266214;joint_2=-0.796438916;joint_3=1.193457265;joint_4=0.004053177;joint_5=0.811717741;joint_6=0.025628663,joint_1=nan;joint_2=nan;joint_3=nan;joint_4=nan;joint_5=nan;joint_6=nan,"0.795607,-0.263570,1.063461","0.795544,-0.206758,0.913352",0.094659,0.000000,true,true,true,false,true,true,true,1259,1259
75.937513,y_positive_offset,y_positive_offset:verify_post_retreat_no_contact,0,0.000000,0.003000,0.000000,joint_1=-0.011366170;joint_2=-0.796626527;joint_3=1.193823377;joint_4=0.005669109;joint_5=0.809358682;joint_6=0.025427660,joint_1=nan;joint_2=nan;joint_3=nan;joint_4=nan;joint_5=nan;joint_6=nan,"0.794473,-0.263650,1.063450","0.794481,-0.206470,0.913481",0.000000,0.000000,false,true,false,true,true,true,true,1281,1280
77.754240,y_positive_offset,y_positive_offset:return_to_ready_pose,0,0.000000,0.003000,0.000000,joint_1=-0.010460110;joint_2=-0.788716092;joint_3=1.195761942;joint_4=0.008376863;joint_5=0.802602422;joint_6=0.006136853,joint_1=nan;joint_2=nan;joint_3=nan;joint_4=nan;joint_5=nan;joint_6=nan,"0.794903,-0.263113,1.059082","0.795275,-0.206390,0.908940",0.000000,0.000000,false,true,false,true,true,true,true,1316,1315
77.755136,y_positive_offset,y_positive_offset:validate_final_state,0,0.000000,0.003000,0.000000,joint_1=-0.010460110;joint_2=-0.788716092;joint_3=1.195761942;joint_4=0.008376863;joint_5=0.802602422;joint_6=0.006136853,joint_1=nan;joint_2=nan;joint_3=nan;joint_4=nan;joint_5=nan;joint_6=nan,"0.794903,-0.263113,1.059082","0.795275,-0.206390,0.908940",0.000000,0.000000,false,true,false,true,true,true,true,1316,1315
77.755785,y_negative_offset,y_negative_offset:start,0,0.000000,-0.003000,0.000000,joint_1=-0.010460110;joint_2=-0.788716092;joint_3=1.195761942;joint_4=0.008376863;joint_5=0.802602422;joint_6=0.006136853,joint_1=nan;joint_2=nan;joint_3=nan;joint_4=nan;joint_5=nan;joint_6=nan,"0.794903,-0.263113,1.059082","0.795275,-0.206390,0.908940",0.000000,0.000000,false,false,false,false,true,true,true,1316,1315
79.163410,y_negative_offset,y_negative_offset:move_to_ready_pose,0,0.000000,-0.003000,0.000000,joint_1=0.009501929;joint_2=-0.790776831;joint_3=1.209938023;joint_4=-0.004379314;joint_5=0.795810017;joint_6=0.021121035,joint_1=nan;joint_2=nan;joint_3=nan;joint_4=nan;joint_5=nan;joint_6=nan,"0.804539,-0.264991,1.056192","0.804570,-0.209070,0.905749",0.000000,0.000000,false,false,false,false,true,true,true,1343,1343
80.470261,y_negative_offset,y_negative_offset:move_to_no_contact_standby_pose,0,0.000000,-0.003000,0.000000,joint_1=0.010303128;joint_2=-0.791556427;joint_3=1.199434700;joint_4=-0.002880763;joint_5=0.801628896;joint_6=0.031526628,joint_1=nan;joint_2=nan;joint_3=nan;joint_4=nan;joint_5=nan;joint_6=nan,"0.805008,-0.263815,1.059436","0.805260,-0.207081,0.909298",0.000000,0.000000,false,false,false,false,true,true,true,1368,1367
81.821671,y_negative_offset,y_negative_offset:compute_pad_pose,0,0.000000,-0.003000,0.000000,joint_1=0.010335920;joint_2=-0.791590178;joint_3=1.198975517;joint_4=-0.002814110;joint_5=0.801883171;joint_6=0.031978454,joint_1=nan;joint_2=nan;joint_3=nan;joint_4=nan;joint_5=nan;joint_6=nan,"0.805024,-0.263764,1.059578","0.805286,-0.206994,0.909454",0.000000,0.000000,false,false,false,false,true,true,true,1390,1390
81.822113,y_negative_offset,y_negative_offset:spawn_or_reposition_pad,0,0.000000,-0.003000,0.000000,joint_1=0.010335920;joint_2=-0.791590178;joint_3=1.198975517;joint_4=-0.002814110;joint_5=0.801883171;joint_6=0.031978454,joint_1=nan;joint_2=nan;joint_3=nan;joint_4=nan;joint_5=nan;joint_6=nan,"0.805024,-0.263764,1.059578","0.805286,-0.206994,0.909454",0.000000,0.000000,false,false,false,false,true,true,true,1390,1390
82.828762,y_negative_offset,y_negative_offset:verify_initial_no_contact,0,0.000000,-0.003000,0.000000,joint_1=0.010336575;joint_2=-0.791590853;joint_3=1.198966340;joint_4=-0.002812778;joint_5=0.801888253;joint_6=0.031987483,joint_1=nan;joint_2=nan;joint_3=nan;joint_4=nan;joint_5=nan;joint_6=nan,"0.805024,-0.263763,1.059581","0.805287,-0.206992,0.909457",0.000000,0.000000,false,true,false,false,true,true,true,1409,1409
