elapsed_sec,control_law_output_generated,contact_force_magnitude_n,contact_torque_magnitude_nm,insertion_axis_correction_x_m,insertion_axis_correction_y_m,force_limited_velocity_suggestion_mps,virtual_force_corrected_z_mps,safety_clipped_z_mps,sent_to_controller,status
19.680,true,0.000000,0.000000,-0.000000,-0.000000,-0.000000,0.000000,0.000000,false,diagnostic_control_law_output_blocked
19.881,true,0.000000,0.000000,-0.000000,-0.000000,-0.000000,0.000000,0.000000,false,diagnostic_control_law_output_blocked
20.083,true,0.000000,0.000000,-0.000000,-0.000000,-0.000000,0.000000,0.000000,false,diagnostic_control_law_output_blocked
20.280,true,0.000000,0.000000,-0.000000,-0.000000,-0.000000,0.000000,0.000000,false,diagnostic_control_law_output_blocked
20.480,true,0.000000,0.000000,-0.000000,-0.000000,-0.000000,0.000000,0.000000,false,diagnostic_control_law_output_blocked
20.680,true,0.000000,0.000000,-0.000000,-0.000000,-0.000000,0.000000,0.000000,false,diagnostic_control_law_output_blocked
20.880,true,0.000000,0.000000,-0.000000,-0.000000,-0.000000,0.000000,0.000000,false,diagnostic_control_law_output_blocked
21.082,true,0.000000,0.000000,-0.000000,-0.000000,-0.000000,0.000000,0.000000,false,diagnostic_control_law_output_blocked
21.282,true,0.000000,0.000000,-0.000000,-0.000000,-0.000000,0.000000,0.000000,false,diagnostic_control_law_output_blocked
21.481,true,0.000000,0.000000,-0.000000,-0.000000,-0.000000,0.000000,0.000000,false,diagnostic_control_law_output_blocked
21.681,true,0.000000,0.000000,-0.000000,-0.000000,-0.000000,0.000000,0.000000,false,diagnostic_control_law_output_blocked
21.881,true,0.000000,0.000000,-0.000000,-0.000000,-0.000000,0.000000,0.000000,false,diagnostic_control_law_output_blocked
22.080,true,0.000000,0.000000,-0.000000,-0.000000,-0.000000,0.000000,0.000000,false,diagnostic_control_law_output_blocked
22.280,true,0.000000,0.000000,-0.000000,-0.000000,-0.000000,0.000000,0.000000,false,diagnostic_control_law_output_blocked
22.479,true,0.000000,0.000000,-0.000000,-0.000000,-0.000000,0.000000,0.000000,false,diagnostic_control_law_output_blocked
22.680,true,0.000000,0.000000,-0.000000,-0.000000,-0.000000,0.000000,0.000000,false,diagnostic_control_law_output_blocked
22.880,true,0.000000,0.000000,-0.000000,-0.000000,-0.000000,0.000000,0.000000,false,diagnostic_control_law_output_blocked
23.081,true,0.000000,0.000000,-0.000000,-0.000000,-0.000000,0.000000,0.000000,false,diagnostic_control_law_output_blocked
23.282,true,0.000000,0.000000,-0.000000,-0.000000,-0.000000,0.000000,0.000000,false,diagnostic_control_law_output_blocked
23.480,true,0.000000,0.000000,-0.000000,-0.000000,-0.000000,0.000000,0.000000,false,diagnostic_control_law_output_blocked
23.683,true,0.000000,0.000000,-0.000000,-0.000000,-0.000000,0.000000,0.000000,false,diagnostic_control_law_output_blocked
23.880,true,0.000000,0.000000,-0.000000,-0.000000,-0.000000,0.000000,0.000000,false,diagnostic_control_law_output_blocked
24.081,true,0.000000,0.000000,-0.000000,-0.000000,-0.000000,0.000000,0.000000,false,diagnostic_control_law_output_blocked
24.280,true,0.000000,0.000000,-0.000000,-0.000000,-0.000000,0.000000,0.000000,false,diagnostic_control_law_output_blocked
