stamp_s,tick_index,ground_truth_phase,ground_truth_safety,predicted_phase_int,predicted_phase_name,target_joint_1,target_joint_2,target_joint_3,target_joint_4,target_joint_5,target_joint_6
1780622090.244981,2920,RETREAT,OK,6,INSERTED,-0.000150,-0.796280,1.210262,0.000965,0.802471,0.000175
1780622090.374191,2921,RETREAT,OK,6,INSERTED,-0.000147,-0.796243,1.210083,0.000968,0.802431,0.000174
1780622090.459019,2922,RETREAT,OK,8,ABORT,-0.000147,-0.795586,1.208824,0.000964,0.801749,0.000175
1780622090.580909,2923,RETREAT,OK,5,INSERT,-0.000150,-0.796397,1.210496,0.000963,0.802598,0.000173
1780622090.674824,2924,RETREAT,OK,5,INSERT,-0.000148,-0.796300,1.210220,0.000967,0.802492,0.000174
1780622090.796649,2925,RETREAT,OK,8,ABORT,-0.000148,-0.795496,1.208688,0.000960,0.801659,0.000174
1780622090.898609,2926,RETREAT,OK,6,INSERTED,-0.000148,-0.795896,1.209462,0.000962,0.802077,0.000173
1780622091.016806,2927,RETREAT,OK,6,INSERTED,-0.000147,-0.796082,1.209795,0.000965,0.802267,0.000173
1780622091.125259,2928,RETREAT,OK,8,ABORT,-0.000148,-0.795825,1.209314,0.000965,0.801997,0.000175
1780622091.232902,2929,RETREAT,OK,5,INSERT,-0.000150,-0.796714,1.211106,0.000967,0.802925,0.000173
1780622091.322109,2930,RETREAT,OK,6,INSERTED,-0.000148,-0.795958,1.209578,0.000963,0.802140,0.000173
1780622091.443479,2931,RETREAT,OK,8,ABORT,-0.000149,-0.795675,1.209092,0.000959,0.801847,0.000174
1780622091.545810,2932,RETREAT,OK,5,INSERT,-0.000149,-0.796543,1.210727,0.000968,0.802745,0.000174
1780622091.664844,2933,RETREAT,OK,6,INSERTED,-0.000146,-0.795174,1.208038,0.000957,0.801328,0.000173
1780622091.757493,2934,RETREAT,OK,8,ABORT,-0.000147,-0.795774,1.209193,0.000965,0.801943,0.000175
1780622091.889263,2935,RETREAT,OK,6,INSERTED,-0.000150,-0.796181,1.210093,0.000961,0.802375,0.000172
1780622091.976948,2936,RETREAT,OK,6,INSERTED,-0.000149,-0.796461,1.210586,0.000966,0.802661,0.000173
1780622092.115931,2937,RETREAT,OK,8,ABORT,-0.000147,-0.795575,1.208819,0.000963,0.801738,0.000175
1780622092.239753,2938,RETREAT,OK,5,INSERT,-0.000149,-0.796481,1.210599,0.000968,0.802680,0.000174
1780622092.327582,2939,RETREAT,OK,6,INSERTED,-0.000148,-0.795950,1.209541,0.000967,0.802125,0.000176
1780622092.451574,2940,RETREAT,OK,6,INSERTED,-0.000148,-0.796036,1.209745,0.000962,0.802222,0.000173
1780622092.566410,2941,RETREAT,OK,5,INSERT,-0.000148,-0.796252,1.210130,0.000966,0.802443,0.000174
1780622092.680021,2942,RETREAT,OK,6,INSERTED,-0.000151,-0.796462,1.210642,0.000968,0.802658,0.000176
1780622092.768998,2943,RETREAT,OK,6,INSERTED,-0.000153,-0.796479,1.210776,0.000961,0.802683,0.000174
1780622092.896585,2944,RETREAT,OK,6,INSERTED,-0.000148,-0.796151,1.209937,0.000965,0.802338,0.000173
1780622092.998708,2945,RETREAT,OK,6,INSERTED,-0.000149,-0.795059,1.207914,0.000953,0.801210,0.000173
1780622093.121925,2946,RETREAT,OK,5,INSERT,-0.000150,-0.796593,1.210863,0.000966,0.802799,0.000173
1780622093.216024,2947,RETREAT,OK,5,INSERT,-0.000150,-0.796722,1.211119,0.000967,0.802932,0.000173
1780622093.342336,2948,RETREAT,OK,8,ABORT,-0.000148,-0.795818,1.209314,0.000964,0.801990,0.000175
1780622093.432809,2949,RETREAT,OK,5,INSERT,-0.000148,-0.796003,1.209684,0.000962,0.802188,0.000173
1780622093.560976,2950,RETREAT,OK,6,INSERTED,-0.000148,-0.795217,1.208208,0.000953,0.801377,0.000172
1780622093.655739,2951,RETREAT,OK,8,ABORT,-0.000147,-0.795288,1.208281,0.000959,0.801444,0.000174
1780622093.787921,2952,RETREAT,OK,6,INSERTED,-0.000150,-0.796173,1.210092,0.000960,0.802368,0.000172
1780622093.886472,2953,RETREAT,OK,6,INSERTED,-0.000148,-0.796582,1.210776,0.000970,0.802783,0.000174
1780622094.002516,2954,RETREAT,OK,5,INSERT,-0.000155,-0.796320,1.210652,0.000948,0.802533,0.000171
1780622094.100408,2955,RETREAT,OK,5,INSERT,-0.000149,-0.796449,1.210549,0.000967,0.802649,0.000173
1780622094.220215,2956,RETREAT,OK,6,INSERTED,-0.000152,-0.796452,1.210665,0.000965,0.802651,0.000175
1780622094.312115,2957,RETREAT,OK,6,INSERTED,-0.000152,-0.796339,1.210487,0.000962,0.802536,0.000175
1780622094.465785,2958,RETREAT,OK,5,INSERT,-0.000148,-0.796075,1.209826,0.000963,0.802263,0.000173
1780622094.549854,2959,RETREAT,OK,6,INSERTED,-0.000147,-0.796265,1.210106,0.000970,0.802453,0.000174
1780622094.682697,2960,RETREAT,OK,6,INSERTED,-0.000152,-0.796094,1.210011,0.000958,0.802285,0.000174
1780622094.777011,2961,RETREAT,OK,5,INSERT,-0.000150,-0.796741,1.211127,0.000969,0.802950,0.000174
1780622094.898851,2962,RETREAT,OK,6,INSERTED,-0.000147,-0.795232,1.208182,0.000957,0.801388,0.000173
1780622094.982825,2963,RETREAT,OK,8,ABORT,-0.000149,-0.795479,1.208747,0.000956,0.801646,0.000174
1780622095.133373,2964,RETREAT,OK,5,INSERT,-0.000150,-0.796812,1.211284,0.000969,0.803025,0.000174
1780622095.206232,2965,RETREAT,OK,6,INSERTED,-0.000149,-0.795876,1.209470,0.000962,0.802054,0.000174
1780622095.325834,2966,RETREAT,OK,6,INSERTED,-0.000147,-0.795762,1.209185,0.000962,0.801937,0.000173
1780622095.415810,2967,RETREAT,OK,5,INSERT,-0.000149,-0.796036,1.209762,0.000962,0.802223,0.000173
1780622095.552430,2968,RETREAT,OK,6,INSERTED,-0.000153,-0.796455,1.210719,0.000963,0.802655,0.000175
1780622095.655906,2969,RETREAT,OK,6,INSERTED,-0.000151,-0.796414,1.210586,0.000964,0.802612,0.000175
1780622095.792629,2970,RETREAT,OK,5,INSERT,-0.000148,-0.795959,1.209585,0.000962,0.802142,0.000173
1780622095.896665,2971,RETREAT,OK,8,ABORT,-0.000148,-0.795391,1.208506,0.000959,0.801550,0.000174
1780622095.988510,2972,RETREAT,OK,5,INSERT,-0.000148,-0.795857,1.209396,0.000961,0.802037,0.000173
1780622096.146092,2973,RETREAT,OK,6,INSERTED,-0.000146,-0.795823,1.209222,0.000967,0.801994,0.000174
1780622096.207085,2974,RETREAT,OK,8,ABORT,-0.000148,-0.795635,1.208976,0.000962,0.801802,0.000175
1780622096.329942,2975,RETREAT,OK,5,INSERT,-0.000150,-0.796564,1.210811,0.000966,0.802770,0.000173
1780622096.435775,2976,RETREAT,OK,5,INSERT,-0.000148,-0.795926,1.209506,0.000963,0.802107,0.000173
1780622096.552656,2977,RETREAT,OK,6,INSERTED,-0.000150,-0.795174,1.208223,0.000950,0.801334,0.000173
1780622096.653092,2978,RETREAT,OK,6,INSERTED,-0.000149,-0.796119,1.209943,0.000962,0.802310,0.000173
1780622096.779927,2979,RETREAT,OK,8,ABORT,-0.000147,-0.795381,1.208467,0.000959,0.801541,0.000174
1780622096.898413,2980,RETREAT,OK,6,INSERTED,-0.000149,-0.795242,1.208286,0.000953,0.801401,0.000173
1780622097.019109,2981,RETREAT,OK,6,INSERTED,-0.000149,-0.796300,1.210306,0.000963,0.802498,0.000173
1780622097.109538,2982,RETREAT,OK,8,ABORT,-0.000149,-0.795411,1.208556,0.000959,0.801569,0.000175
1780622097.230555,2983,RETREAT,OK,6,INSERTED,-0.000147,-0.795880,1.209398,0.000964,0.802057,0.000173
1780622097.323424,2984,RETREAT,OK,5,INSERT,-0.000148,-0.795960,1.209609,0.000961,0.802145,0.000173
1780622097.446200,2985,RETREAT,OK,8,ABORT,-0.000149,-0.796168,1.210023,0.000967,0.802352,0.000176
1780622097.541258,2986,RETREAT,OK,6,INSERTED,-0.000151,-0.795993,1.209772,0.000961,0.802176,0.000175
1780622097.670124,2987,RETREAT,OK,5,INSERT,-0.000148,-0.795866,1.209432,0.000960,0.802047,0.000172
1780622097.758107,2988,RETREAT,OK,6,INSERTED,-0.000148,-0.795485,1.208660,0.000960,0.801648,0.000174
1780622097.888116,2989,RETREAT,OK,6,INSERTED,-0.000148,-0.796488,1.210555,0.000971,0.802684,0.000174
1780622097.980190,2990,RETREAT,OK,6,INSERTED,-0.000148,-0.796504,1.210589,0.000971,0.802701,0.000174
1780622098.110241,2991,RETREAT,OK,8,ABORT,-0.000148,-0.795760,1.209183,0.000965,0.801929,0.000175
1780622098.205368,2992,RETREAT,OK,6,INSERTED,-0.000147,-0.796049,1.209718,0.000966,0.802232,0.000174
1780622098.332087,2993,RETREAT,OK,6,INSERTED,-0.000147,-0.796344,1.210273,0.000970,0.802535,0.000174
1780622098.425755,2994,RETREAT,OK,8,ABORT,-0.000149,-0.795678,1.209074,0.000961,0.801848,0.000174
1780622098.576273,2995,RETREAT,OK,5,INSERT,-0.000148,-0.796162,1.209939,0.000966,0.802349,0.000174
1780622098.643351,2996,RETREAT,OK,5,INSERT,-0.000148,-0.796214,1.210043,0.000967,0.802402,0.000174
1780622098.779482,2997,RETREAT,OK,8,ABORT,-0.000149,-0.795659,1.209051,0.000960,0.801829,0.000174
1780622098.861379,2998,RETREAT,OK,5,INSERT,-0.000149,-0.796561,1.210785,0.000967,0.802765,0.000174
1780622098.990566,2999,RETREAT,OK,6,INSERTED,-0.000147,-0.795987,1.209606,0.000964,0.802168,0.000173
1780622099.077521,3000,RETREAT,OK,8,ABORT,-0.000148,-0.795735,1.209151,0.000963,0.801905,0.000175
1780622099.209386,3001,RETREAT,OK,5,INSERT,-0.000149,-0.795850,1.209429,0.000958,0.802033,0.000172
1780622099.298875,3002,RETREAT,OK,5,INSERT,-0.000148,-0.796024,1.209709,0.000963,0.802209,0.000173
1780622099.432002,3003,RETREAT,OK,6,INSERTED,-0.000152,-0.796309,1.210408,0.000962,0.802505,0.000175
1780622099.551999,3004,RETREAT,OK,5,INSERT,-0.000149,-0.796212,1.210099,0.000964,0.802405,0.000173
1780622099.640082,3005,RETREAT,OK,6,INSERTED,-0.000146,-0.795591,1.208767,0.000966,0.801753,0.000174
1780622099.768854,3006,RETREAT,OK,6,INSERTED,-0.000149,-0.796367,1.210365,0.000969,0.802558,0.000175
1780622099.862769,3007,RETREAT,OK,5,INSERT,-0.000150,-0.796510,1.210748,0.000963,0.802716,0.000173
1780622099.984442,3008,RETREAT,OK,6,INSERTED,-0.000149,-0.796561,1.210780,0.000967,0.802765,0.000174
1780622100.079318,3009,RETREAT,OK,8,ABORT,-0.000147,-0.795296,1.208258,0.000960,0.801450,0.000174
1780622100.222187,3010,RETREAT,OK,5,INSERT,-0.000150,-0.796539,1.210769,0.000965,0.802744,0.000173
1780622100.307426,3011,RETREAT,OK,8,ABORT,-0.000148,-0.795953,1.209561,0.000967,0.802129,0.000175
1780622100.436203,3012,RETREAT,OK,6,INSERTED,-0.000148,-0.796262,1.210163,0.000966,0.802454,0.000174
1780622100.529578,3013,RETREAT,OK,5,INSERT,-0.000149,-0.796255,1.210171,0.000965,0.802448,0.000173
1780622100.676573,3014,RETREAT,OK,8,ABORT,-0.000148,-0.795772,1.209194,0.000965,0.801940,0.000175
1780622100.759745,3015,RETREAT,OK,6,INSERTED,-0.000147,-0.795876,1.209370,0.000965,0.802053,0.000173
1780622100.873932,3016,RETREAT,OK,5,INSERT,-0.000150,-0.796411,1.210560,0.000961,0.802614,0.000172
1780622100.965325,3017,RETREAT,OK,8,ABORT,-0.000149,-0.795523,1.208776,0.000960,0.801687,0.000175
1780622101.097188,3018,RETREAT,OK,5,INSERT,-0.000148,-0.796250,1.210133,0.000966,0.802441,0.000173
1780622101.192243,3019,RETREAT,OK,5,INSERT,-0.000148,-0.796322,1.210253,0.000968,0.802514,0.000174
1780622101.316426,3020,RETREAT,OK,8,ABORT,-0.000149,-0.795510,1.208781,0.000958,0.801675,0.000174
1780622101.406802,3021,RETREAT,OK,6,INSERTED,-0.000148,-0.796396,1.210392,0.000969,0.802590,0.000174
1780622101.546731,3022,RETREAT,OK,5,INSERT,-0.000148,-0.796185,1.210029,0.000964,0.802376,0.000173
1780622101.628641,3023,RETREAT,OK,8,ABORT,-0.000148,-0.795775,1.209208,0.000965,0.801944,0.000175
1780622101.750055,3024,RETREAT,OK,6,INSERTED,-0.000149,-0.796512,1.210680,0.000968,0.802712,0.000174
1780622101.851827,3025,RETREAT,OK,6,INSERTED,-0.000149,-0.796382,1.210422,0.000967,0.802578,0.000174
1780622101.960329,3026,RETREAT,OK,5,INSERT,-0.000156,-0.796187,1.210440,0.000945,0.802396,0.000171
1780622102.046278,3027,RETREAT,OK,6,INSERTED,-0.000148,-0.796169,1.209958,0.000966,0.802357,0.000174
1780622102.175235,3028,RETREAT,OK,6,INSERTED,-0.000152,-0.796451,1.210677,0.000963,0.802652,0.000174
1780622102.257322,3029,RETREAT,OK,6,INSERTED,-0.000151,-0.796226,1.210213,0.000963,0.802417,0.000175
1780622102.385975,3030,RETREAT,OK,5,INSERT,-0.000149,-0.796445,1.210528,0.000967,0.802644,0.000174
1780622102.486228,3031,RETREAT,OK,6,INSERTED,-0.000147,-0.796009,1.209642,0.000965,0.802191,0.000173
1780622102.604957,3032,RETREAT,OK,8,ABORT,-0.000148,-0.795319,1.208366,0.000959,0.801474,0.000175
1780622102.694351,3033,RETREAT,OK,8,ABORT,-0.000149,-0.795445,1.208629,0.000959,0.801606,0.000175
1780622102.819274,3034,RETREAT,OK,6,INSERTED,-0.000151,-0.795973,1.209769,0.000957,0.802160,0.000173
1780622102.908340,3035,RETREAT,OK,8,ABORT,-0.000148,-0.795710,1.209081,0.000964,0.801877,0.000175
1780622103.031650,3036,RETREAT,OK,5,INSERT,-0.000149,-0.795863,1.209466,0.000958,0.802047,0.000172
1780622103.155231,3037,RETREAT,OK,6,INSERTED,-0.000150,-0.795097,1.208054,0.000948,0.801255,0.000172
1780622103.243877,3038,RETREAT,OK,6,INSERTED,-0.000147,-0.796200,1.209980,0.000969,0.802386,0.000174
1780622103.397455,3039,RETREAT,OK,6,INSERTED,-0.000148,-0.795926,1.209518,0.000962,0.802107,0.000173
1780622103.466848,3040,RETREAT,OK,6,INSERTED,-0.000150,-0.795552,1.208911,0.000956,0.801721,0.000174
1780622103.596428,3041,RETREAT,OK,5,INSERT,-0.000150,-0.796569,1.210809,0.000966,0.802774,0.000173
1780622103.687685,3042,RETREAT,OK,5,INSERT,-0.000150,-0.796550,1.210783,0.000966,0.802755,0.000173
1780622103.810827,3043,RETREAT,OK,6,INSERTED,-0.000149,-0.795071,1.207943,0.000951,0.801225,0.000172
1780622103.917336,3044,RETREAT,OK,5,INSERT,-0.000148,-0.796021,1.209693,0.000964,0.802205,0.000173
1780622104.024258,3045,RETREAT,OK,6,INSERTED,-0.000151,-0.796551,1.210841,0.000967,0.802752,0.000175
1780622104.136620,3046,RETREAT,OK,8,ABORT,-0.000149,-0.795422,1.208627,0.000956,0.801586,0.000174
1780622104.248855,3047,RETREAT,OK,5,INSERT,-0.000148,-0.796022,1.209709,0.000963,0.802207,0.000173
1780622104.348190,3048,RETREAT,OK,6,INSERTED,-0.000147,-0.796316,1.210227,0.000969,0.802507,0.000174
1780622104.481984,3049,RETREAT,OK,8,ABORT,-0.000147,-0.795215,1.208134,0.000958,0.801368,0.000174
1780622104.541075,3050,RETREAT,OK,5,INSERT,-0.000149,-0.795776,1.209306,0.000956,0.801957,0.000172
1780622104.713218,3051,RETREAT,OK,6,INSERTED,-0.000150,-0.795320,1.208458,0.000955,0.801479,0.000174
1780622104.764878,3052,RETREAT,OK,8,ABORT,-0.000147,-0.795519,1.208715,0.000962,0.801681,0.000174
1780622104.890269,3053,RETREAT,OK,5,INSERT,-0.000149,-0.795796,1.209329,0.000957,0.801977,0.000172
1780622104.978092,3054,RETREAT,OK,6,INSERTED,-0.000148,-0.795731,1.209141,0.000962,0.801904,0.000174
1780622105.097502,3055,RETREAT,OK,6,INSERTED,-0.000147,-0.796076,1.209739,0.000968,0.802257,0.000174
1780622105.194097,3056,RETREAT,OK,5,INSERT,-0.000149,-0.796030,1.209753,0.000961,0.802217,0.000173
