stamp_s,state,fx_n,fy_n,fz_n,force_norm_n,tx_nm,ty_nm,tz_nm,torque_norm_nm,peg_x_m,peg_y_m,peg_z_m,xy_error_m
80.260000000,ABORT,-4.475680594,-26.584001700,-22.673237980,35.225226524,-0.412978745,0.163514202,-0.035804998,0.445612316,0.523045411,-0.199765606,0.880891703,0.003054418
80.270000000,ABORT,22.706461647,90.011946214,113.819111226,146.875879374,1.479403543,-1.749807070,0.278701378,2.308275131,0.517298565,-0.199327884,0.884632674,0.002783791
80.280000000,ABORT,14.172292006,43.981586452,4.348153833,46.412716462,0.657825621,-0.208612616,0.111709053,0.699094188,0.517647134,-0.200889715,0.882756337,0.002515467
80.290000000,ABORT,-23.239606687,-164.309089181,-51.787296867,173.837510978,-12.436190710,0.815178825,-0.223997415,12.464891926,0.524328008,-0.200879990,0.879584182,0.004416564
80.300000000,ABORT,-6.159066405,-26.389702112,-41.148091097,49.269827253,-0.419188252,0.423785225,-0.034324145,0.597068551,0.523698683,-0.200617780,0.879387266,0.003749921
80.310000000,ABORT,42.706006715,105.464759339,-79.126923568,138.591805332,2.019832663,0.185691704,0.320411936,2.053501694,0.517870163,-0.200341878,0.882160282,0.002157101
80.320000000,ABORT,13.052398020,45.839509952,8.771927556,48.462072591,0.877629405,-0.148136133,0.104764494,0.896188198,0.518145663,-0.200933520,0.884579004,0.002076060
80.330000000,ABORT,-17.345577090,-150.487948943,-98.033352337,180.438438233,-11.661297667,1.690631921,-0.202452182,11.784951696,0.523631241,-0.200397475,0.882575027,0.003652930
80.340000000,ABORT,-4.900834724,-28.007569950,-8.979631883,29.817376549,-0.561878850,-0.051465732,-0.032842165,0.565185962,0.520292643,-0.199528265,0.881830012,0.000555134
80.350000000,ABORT,38.113229778,103.210319704,-84.359997672,138.641976272,1.985106985,0.299493011,0.314325545,2.032030107,0.518163133,-0.200378662,0.881880612,0.001875491
80.360000000,ABORT,-17.931888705,37.887644553,-36.889792910,55.838007336,0.692825600,0.623831440,0.100751963,0.937722740,0.518459169,-0.201905147,0.881915559,0.002450254
80.370000000,ABORT,-30.405381535,-67.386008269,10.426292361,74.659687309,3.528306232,0.520500976,-0.353611995,3.583979294,0.521961337,-0.200901113,0.883790515,0.002158437
80.380000000,ABORT,25.352792254,-19.388833905,18.261971458,36.772143761,-0.265808311,-0.613588775,-0.025517095,0.669175885,0.522620611,-0.198932122,0.883893321,0.002829835
80.389000000,ABORT,38.192252382,73.732461617,-93.736584547,125.226480110,-2.943578054,0.398678013,0.348144240,2.990785905,0.518515554,-0.201431791,0.881439144,0.002062427
80.400000000,ABORT,-13.874913022,39.110305122,-5.947661945,41.922593679,0.786191474,0.122600000,0.108667043,0.803079273,0.519245557,-0.202990170,0.880936205,0.003083878
80.411000000,ABORT,-20.185316407,-49.403636311,-102.529002014,115.587034451,5.888969419,1.541176952,-0.362961988,6.098108610,0.522203768,-0.201537110,0.881557698,0.002686875
80.420000000,ABORT,23.641669737,-18.911321215,42.296335928,52.014869518,-0.375317699,-0.800880621,-0.022230141,0.884741388,0.520747567,-0.199184922,0.885066668,0.001105988
80.430000000,ABORT,3.429372392,-93.371340572,10.141169266,93.983036497,-11.353398249,-0.055149765,-0.146087261,11.354472017,0.519778644,-0.198989176,0.886020141,0.001034777
80.441000000,ABORT,-23.688613487,-54.755959045,-18.878996065,62.576209155,-0.863002175,0.387676540,-0.123452172,0.954099729,0.521509949,-0.202185469,0.881829110,0.002656354
80.450000000,ABORT,-24.370612578,82.465567148,72.139714308,112.243640813,9.540044293,-0.736183235,-0.041274612,9.568495935,0.520101353,-0.202461987,0.882664336,0.002464072
80.460000000,ABORT,-4.778333600,37.892344491,0.952861418,38.204321587,0.587130868,-0.112177772,0.104860755,0.606879137,0.520068589,-0.201430733,0.883370731,0.001432376
